ParaControl_AMD64-1xN @ coert-ws:  ================================================================================================================================
                                   6024.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 0 | 30.43 MB |  -0.0901 MB
                                   6031.00 ms |          | SV-crop-classic |                           cropped legacy matrix ds for mesh 0 | 31.82 MB |   1.3926 MB
                                   6031.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix ds for mesh 0 | 31.82 MB |   0.0000 MB
                                   6031.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 0 | 31.82 MB |   0.0000 MB
                                   6031.00 ms |          | SV-crop-classic |              successfully cropped legacy matrix ds for mesh 0 | 31.82 MB |   0.0000 MB
                                   6031.00 ms |          | SV-crop-classic |    dropped cropped legacy matrix ds to out-of-core for mesh 0 | 31.82 MB |   0.0000 MB
                                   6031.00 ms |          | SV-crop-classic |                 dropped reference legacy matrix ds for mesh 0 | 31.82 MB |   0.0000 MB
                                   6031.00 ms |          | SV-crop-classic |                 finished cropping legacy matrix ds for mesh 0 | 31.82 MB |   0.0000 MB
                                   6032.00 ms |          | SV-crop-classic |                  loaded legacy reference matrix dA for mesh 0 | 31.82 MB |   0.0000 MB
                                   6032.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 0 | 31.72 MB |  -0.1024 MB
                                   6039.00 ms |          | SV-crop-classic |                           cropped legacy matrix dA for mesh 0 | 33.11 MB |   1.3885 MB
                                   6039.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix dA for mesh 0 | 33.11 MB |   0.0000 MB
                                   6039.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 0 | 33.11 MB |   0.0000 MB
                                   6039.00 ms |          | SV-crop-classic |              successfully cropped legacy matrix dA for mesh 0 | 33.11 MB |   0.0000 MB
                                   6039.00 ms |          | SV-crop-classic |    dropped cropped legacy matrix dA to out-of-core for mesh 0 | 33.11 MB |   0.0000 MB
                                   6039.00 ms |          | SV-crop-classic |                 dropped reference legacy matrix dA for mesh 0 | 33.11 MB |   0.0000 MB
                                   6039.00 ms |          | SV-crop-classic |                 finished cropping legacy matrix dA for mesh 0 | 33.11 MB |   0.0000 MB
                                   6040.00 ms |          | SV-crop-classic |                 loaded legacy reference matrix dsd for mesh 0 | 33.11 MB |   0.0000 MB
                                   6040.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 0 | 33.01 MB |  -0.1024 MB
                                   6046.00 ms |          | SV-crop-classic |                          cropped legacy matrix dsd for mesh 0 | 34.39 MB |   1.3885 MB
                                   6046.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix dsd for mesh 0 | 34.39 MB |   0.0000 MB
                                   6046.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 0 | 34.39 MB |   0.0000 MB
                                   6046.00 ms |          | SV-crop-classic |             successfully cropped legacy matrix dsd for mesh 0 | 34.39 MB |   0.0000 MB
                                   6047.00 ms |          | SV-crop-classic |   dropped cropped legacy matrix dsd to out-of-core for mesh 0 | 34.39 MB |   0.0000 MB
                                   6047.00 ms |          | SV-crop-classic |                dropped reference legacy matrix dsd for mesh 0 | 34.39 MB |   0.0000 MB
                                   6047.00 ms |          | SV-crop-classic |                finished cropping legacy matrix dsd for mesh 0 | 34.39 MB |   0.0000 MB
                                   6048.00 ms |          | SV-crop-classic |                 loaded legacy reference matrix dad for mesh 0 | 34.39 MB |   0.0000 MB
                                   6048.00 ms |          | SV-crop-classic |                         cropping legacy matrix dad for mesh 0 | 34.29 MB |  -0.1065 MB
                                   6054.00 ms |          | SV-crop-classic |                          cropped legacy matrix dad for mesh 0 | 35.68 MB |   1.3926 MB
                                   6054.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix dad for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |                         cropping legacy matrix dad for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |             successfully cropped legacy matrix dad for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |   dropped cropped legacy matrix dad to out-of-core for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |                dropped reference legacy matrix dad for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |                finished cropping legacy matrix dad for mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          | SV-crop-classic |                                                        mesh 0 | 35.68 MB |   0.0000 MB
                                   6054.00 ms |          |     SV-crop-pip |                                                        mesh 1 | 34.73 MB |  -0.9544 MB
